Product Name,Price (PKR),Product Link,Image URL
consumer,N/A,https://www.dvago.pk/p/strepsils-lemon-lozenges-150s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F11632.webp&w=1920&q=50
medicine,N/A,https://www.dvago.pk/p/softin-tablets-1x10s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F11179.jpg&w=1920&q=50
health care,N/A,https://www.dvago.pk/p/ensure-powder-vanilla-850g,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F10190-1.jpg&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/nan-ar-380g,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F16241.jpg&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/meiji-fm-t-infant-formula-powdered-900g,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2Fdvago-products-images%2Fmeiji-fm-t-infant-formula-powdered-900g.webp&w=1920&q=50
medicine,N/A,https://www.dvago.pk/p/fefolvit-spansule-capsules-56s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F07838.jpg&w=1920&q=50
medicine,N/A,https://www.dvago.pk/p/evion-capsules-400-mg-10x10s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F08327.webp&w=1920&q=50
medicine,N/A,https://www.dvago.pk/p/vitrum-tablets-30s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F03322%2520(1).JPG&w=1920&q=50
medicine,N/A,https://www.dvago.pk/p/panadol-extra-tablets-100s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2Fdvago-products-images%2Fpanadol-extra-tablets-100s.webp&w=1920&q=50
medicine,N/A,https://www.dvago.pk/p/panadol-extra-tablets-100s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2Fdvago-products-images%2Fpanadol-extra-tablets-100s.webp&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/morinaga-nl-33-lactose-free-formula-powdered-milk-350g,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F09610.jpg&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/pediasure-vanilla-850g,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F10196-1.jpeg&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/meiji-fu-follow-up-formula-powdered-milk-400g,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F09362-1.jpg&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/morinaga-bf-1-infant-formula-milk-powder-900g,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F09603-1.jpg&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/boost-beneprotein-264g,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F17640.jpg&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/nan-3-900g-tin,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F03211.png&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/leo-baby-diapers-jumbo-pack-small-64pcs,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F12503.jpg&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/leo-baby-diapers-jumbo-pack-x-large-size-5-40-count,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F12505.jpg&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/leo-baby-diapers-mega-pack-large-72c,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F12509.png&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/leo-adult-daipers-medium,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F12512.jpg&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/leo-adult-diaper-large-10s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F12514.jpg&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/bona-papa-magic-new-bron,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F18404.jpg&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/bona-papa-magic-eco-large,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F18407.jpg&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/bona-papa-magic-eoc-e-large,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F18408.jpg&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/bona-papa-magic-eco-xxl,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F18409.jpg&w=1920&q=50
