Product Name,Price (PKR),Product Link,Image URL
Redragon G809 Jupiter Wireless Gamepad Bluetooth G...,"Rs 6,684",https://homeshopping.pk/products/Redragon-G809-Jupiter-Wireless-Gamepad-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/s/387/61qt4VLKdaL._SL1000___90334_thumb.jpg
Rebel CMP-RBL-CHAIR-01 Renegade Gaming Chair - Bla...,"Rs 70,249",https://homeshopping.pk/products/Rebel-CMP-RBL-CHAIR-01-Renegade-Gaming-Chair-Black-Red-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/t/457/Red-7__46711_thumb.jpg
Boost Surge Gaming Chair (with Footrest) (Blue&...,"Rs 32,000",https://homeshopping.pk/products/Boost-Surge-Gaming-Chair-Blue-Red-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/i/040/boost-surge-gaming-chair-price-in-pakistan-1-19643-1840524-160823041044362__39948_thumb.jpg
A4Tech Bloody GH-30 ROGUE Mid Tower Gaming Tempere...,"Rs 25,800",https://homeshopping.pk/products/A4Tech-Bloody-GH30-ROGUE-Mid-Tower-Gaming-Tempered-Glass-Case-Price-In-Pakistan.html,https://cdn.homeshopping.pk/product_images/h/237/20210308103556_78494__31339_thumb.jpg
Boost Velocity RGB Gaming Chair,"Rs 32,499",https://homeshopping.pk/products/Boost-Velocity-RGB-Gaming-Chair-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/e/268/boost-velocity-rgb-gaming-chair-price-in-pakistan-2-19643-1840538-160823044027740__38138_thumb.jpg
Rebel CMP-RBL-SOFA-01 Wraith Gaming Sofa - Black/R...,"Rs 75,099",https://homeshopping.pk/products/Rebel-CMP-RBL-SOFA-01-Wraith-Gaming-Sofa-Black-Red-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/w/344/1-Rebel-Wraith-Gaming-Sofa__39066_thumb.jpg
Boost Surge Gaming Chair (with Footrest) (Black &a...,"Rs 32,000",https://homeshopping.pk/products/Boost-Surge-Gaming-Chair-Black-Grey-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/q/683/boost-surge-gaming-chair-price-in-pakistan-2-19643-0-160823040636588__23095_thumb.jpg
Havit GC924 Gaming Chair,"Rs 19,999",https://homeshopping.pk/products/Havit-GC924-Gaming-Chair-Price-In-Pakistan.html,https://cdn.homeshopping.pk/product_images/v/920/cbd3ba4ee8fa931a3ea5778e6536a4c3.jpg_340x340q80__60511_thumb.jpg
Boost Surge Gaming Chair (with Footrest) (Black/Re...,"Rs 32,000",https://homeshopping.pk/products/Boost-Surge-Gaming-Chair-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/x/354/boost-surge-gaming-chair-price-in-pakistan-1-19643-1840525-160823041415761__52901_thumb.jpg
Rebel CMP-RBL-SOFA-02 Wraith Gaming Sofa - Black/O...,"Rs 75,099",https://homeshopping.pk/products/Rebel-CMP-RBL-SOFA-02-Wraith-Gaming-Sofa-Black-Orange-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/p/494/Sofa2-B__17718_thumb.jpg
Razer Iskur XL Gaming Chair Black,"Rs 240,499",https://homeshopping.pk/products/Razer-Iskur-XL-Gaming-Chair-Black-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/p/204/razer-iskur-x-gaming-chair-black-green-_xl__1__39101_thumb.jpg
Metro Redux PS4,"Rs 8,198",https://homeshopping.pk/products/Metro-Redux-PS4.html,https://cdn.homeshopping.pk/product_images/w/743/59bb0b2c96e9ae003339dcde4ca6aaf6__00474_thumb.jpg
Rebel Renegade Gaming Chair - Black,"Rs 70,249",https://homeshopping.pk/products/Rebel-Renegade-Gaming-Chair-Black-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/a/038/black-chair-1-63670-061221060707__84851_thumb.png
Fantech SHOOTER II WGP13 PRO Wireless Gaming Contr...,"Rs 6,999",https://homeshopping.pk/products/Fantech-SHOOTER-II-WGP13-PRO-Wireless-Gaming-Controller-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/b/296/WGP13-Wireless-Gamepad2__33288_thumb.png
Boost Velocity Gaming Chair (Black/Red),"Rs 27,999",https://homeshopping.pk/products/Boost-Velocity-Gaming-Chair-Black-Red-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/g/777/boost-velocity-gaming-chair-price-in-pakistan-2-19643-1840535-160823043243486__49945_thumb.jpg
Gamdias Achilles E1 L PC Gaming Chair Black/Red,"Rs 64,899",https://homeshopping.pk/products/Gamdias-Achilles-E1-L-Gaming-Chair-BlackRed-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/z/713/Gamdias-Achilles-E1-RGB-PC-Gaming-Chair-%25E2%2580%2593-Black-Red-Price-in-Pakistan__56092_thumb.jpg
Armaggeddon NEBUKA III Gaming Chair Maldive Blue 8...,"Rs 50,499",https://homeshopping.pk/products/Armaggeddon-NEBUKA-III-Gaming-Chair-Blue-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/k/850/73763279-647d-4a2d-9edc-00a563d29210__91368_thumb.png
Haier HRF 216 EPR/EPB/EPG Glass Door Refrigerator ...,"Rs 71,374",https://homeshopping.pk/products/Haier-HRF216-EPR-Glass-Door-Refrigerator-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/k/142/W020210223496300226886_450__44422_thumb.jpg
Anex AG-1020 Deluxe Garment Steamer,"Rs 19,099",https://homeshopping.pk/products/Anex-AG-1020-Deluxe-Garment-Steamer-Price-In-Pakistan.html,https://cdn.homeshopping.pk/product_images/v/509/anex-deluxe-garment-steamer-_ag-1020__1_1_1_1__60758_thumb.jpg
West Point WF-367 3 in 1 Blender Chopper & Gri...,"Rs 15,665",https://homeshopping.pk/products/West-Point-WF367-3-in-1-Blender-Chopper-Grinder-Price-In-Pakistan.html,https://cdn.homeshopping.pk/product_images/f/635/westpoint-3-in-1-blender-chopper-_-grinder-_wf-367__1_1__38759_thumb.jpg
Haier HWM 80-50 Washer Single Tub Washing Machine,"Rs 23,334",https://homeshopping.pk/products/Haier-HWM-8050-Washer-Single-Tub-Washing-Machine-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/d/386/W020190927580073209200__64779_thumb.png
Dawlance DW-6000 Spinner Washing Machine - 10KG,"Rs 19,619",https://homeshopping.pk/products/Dawlance-DW-6000-Spinner-Washing-Machine-10KG-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/e/440/ds-6000cpro__72774_thumb.png
Haier Hrf-336 EBS E-Star Series Refrigerator,"Rs 87,524",https://homeshopping.pk/products/Haier-Hrf-336-Ebs-Ebd-E-Star-Series-Refrigerator-Price-In-Pakistan.html,https://cdn.homeshopping.pk/product_images/h/068/W020200918557168634658__94063_thumb.jpg
Haier Hrf-276 Ebs/Ebd E-Star Series Refrigerator,"Rs 75,174",https://homeshopping.pk/products/Haier-Hrf-276-Ebs-Ebd-EStar-Series-Refrigerator-Price-In-Pakistan.html,https://cdn.homeshopping.pk/product_images/b/081/HRF-276EBS-300x300__20821_thumb.png
Anex AG-3079 Oven Toaster Bar B Q With Grill,"Rs 28,737",https://homeshopping.pk/products/Anex-AG3079-Deluxe-Oven-Toaster-Price-In-Pakistan.html,https://cdn.homeshopping.pk/product_images/z/821/anex-deluxe-oven-toaster-60-ltr-_ag-3079__1__74436_thumb.jpg
Haier HRF-438 EPR Glass Door Refrigerator (Officia...,"Rs 104,674",https://homeshopping.pk/products/Haier-HRF438EPREPBEPC-Glass-Door-Refrigerator-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/q/388/W020200921723916882674_350__94062_thumb.jpg
West Point WF-152 Deluxe Ceramic Cooker,"Rs 13,890",https://homeshopping.pk/products/West-Point-WF152-Deluxe-Ceramic-Cooker-Price-In-Pakistan.html,https://cdn.homeshopping.pk/product_images/f/183/Untitleddesign_1024x1024__00293_thumb.jpg
Anex AG-6034 Blender Grinder 3 in 1 With Glass,"Rs 8,399",https://homeshopping.pk/products/Anex-AG-6034-Blender-Grinder-3-in-1-With-Glass-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/j/760/ag-6034-deluxe-blender-grinder__18846_thumb.jpg
Westpoint WF-9214 Hand Blender,"Rs 6,056",https://homeshopping.pk/products/WestPoint-Hand-BlenderSteel-Rod-WF9214-Price-In-Pakistan-.html,https://cdn.homeshopping.pk/product_images/r/701/westpoint_hand_blender_wf-9214_15000_4__17901_thumb.jpg
Anex AG-184 GL Juicer Blender,"Rs 14,954",https://homeshopping.pk/products/Anex-AG-184-GL-Juicer-Blender-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/j/342/Juicer-Blende-Grinder-AG-184GL-Filled-550x600__47876_thumb.jpg
Anex AG-2099 Vacuum Cleaner 3 in 1 with official w...,"Rs 25,470",https://homeshopping.pk/products/Anex-2099-Vacuum-Cleaner-3-in-1-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/z/387/ag-2099_a__12642_thumb.jpg
Anex AG-3072 Oven Toaster,"Rs 26,471",https://homeshopping.pk/products/Anex-AG-3072-Oven-Toaster-Price-In-Pakistan.html,https://cdn.homeshopping.pk/product_images/e/574/anex-oven-toaster-_ag-3072__1_1__88975_thumb.jpg
Anex AG-3151 Food Proccessor,"Rs 17,955",https://homeshopping.pk/products/Anex-AG-3151-Food-Proccessor-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/u/463/anex-food-factory-_ag-3151__1_1__70449_thumb.jpg
Anex AG-3144 Chopper With Vegetable Cutter,"Rs 13,126",https://homeshopping.pk/products/Anex-AG-3144-Chopper-With-Vegetable-Cutter-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/r/387/4fa59832c20a5ea721146ff7ade1a609__73391_thumb.jpg
Westpoint WF-368 Deluxe Power Blender Commercial,"Rs 11,499",https://homeshopping.pk/products/Westpoint-WF368-Deluxe-Power-Blender-Price-In-Pakistan-.html,https://cdn.homeshopping.pk/product_images/y/861/city_series_parking_lot_garage_toy_set_-_2024-02-01t063734.880_2__40173_thumb.jpg
Canon Eos M50 Kit Mark Ii Ef-m 15-45mm Black,"Rs 200,999",https://homeshopping.pk/products/Canon-Eos-M50-Kit-Mark-Ii-Efm-1545mm-Black-Price-in-Pakistan-.html,https://cdn.homeshopping.pk/product_images/g/718/lg_HYQlHNw61Y13q2Mf3LUwwq5TwRso0rJA9m5m4CXr__92421_thumb.jpg
Sigma 150-600mm f5-6.3 DG OS HSM Contemporary Lens...,"Rs 403,499",https://homeshopping.pk/products/Sigma-150-600mm-f5-63-DG-OS-HSM-Contemporary-Lens-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/d/026/1410483142_1082154__51426_thumb.jpg
Yuneec Typhoon H ADVANCED,"Rs 225,000",https://homeshopping.pk/products/Yuneec-Typhoon-H-ADVANCED-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/j/757/4184lbBW6XL__20273_thumb.jpg
GoPro Protective Lens 2AGCLK-301,"Rs 3,549",https://homeshopping.pk/products/GoPro-Protective-Lens-2AGCLK301-Price-in-Pakistan-.html,https://cdn.homeshopping.pk/product_images/j/613/gopro_agclk_301_protective_lens_1380585250_999120__93160_thumb.jpg
Sigma 50mm F1.4 DG DN Art Lens,"Rs 243,999",https://homeshopping.pk/products/Sigma-50mm-F14-DG-DN-Art-Lens-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/x/649/50mm-dg-dn-01_1__75049_thumb.jpg
Sigma 56mm F1.4 DC DN Contemporary Lens for Nikon ...,"Rs 129,999",https://homeshopping.pk/products/Sigma-56mm-F14-DC-DN-Contemporary-Lens-for-Nikon-Z-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/u/912/56MM-1__36119_thumb.jpg
Sigma 100-400mm F/5-6.3 DG DN (or) DG OS HSM Conte...,"Rs 239,699",https://homeshopping.pk/products/Sigma-100-400mm-F5-6-3-DG-DN-or-DG-OS-HSM-Contemporary-Lens-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/a/845/sigma_100_400mm_f_5_6_3_dg_dn_1592472116_1568623__46225_thumb.jpg
SanDisk SDSDXXY 64GB Extreme PRO SDXC UHS-I 170MB/...,"Rs 3,899",https://homeshopping.pk/products/SanDisk-SDSDXXY-64GB-SD-Card-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/e/314/61GzuP0aGcL._SL1000___67082_thumb.jpg
Sigma 18-35mm f/1.8 DC HSM Art Lens for Canon EF,"Rs 204,999",https://homeshopping.pk/products/Sigma-1835mm-f18-DC-HSM-Art-Lens-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/h/410/1369__64291_thumb.jpg
Sigma 16mm f1.4 DC DN (C) Lens - Nikon Z Mount,"Rs 129,999",https://homeshopping.pk/products/Sigma-16mm-f14-DC-DN-C-Lens-Nikon-Z-Mount-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/g/646/pphoto_16_1.4_c017_horizontal_hood_m-2__65160_thumb.jpg
GoPro Protective Housing HERO 11,"Rs 19,000",https://homeshopping.pk/products/GoPro-Protective-Housing-HERO-11-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/n/058/71Ox4WJE5IL._AC_UF1000_1000_QL80___84699_thumb.jpg
TP-Link Tapo C320WS Outdoor Security Wi-Fi Camera,"Rs 15,499",https://homeshopping.pk/products/TP-Link-Tapo-C320WS-Outdoor-Security-WiFi-Camera-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/j/012/1-4012-1627973-211222074144330__96026_thumb.jpg
Formatt Hitech 100mmx100mm 4×4 inch Prostop IRND K...,"Rs 64,499",https://homeshopping.pk/products/Formatt-Hitech-100mmx100mm-4%C3%974-inch-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/f/239/13__09334_thumb.jpg
TP-Link Tapo C100 Home Security Wi-Fi Camera,"Rs 6,999",https://homeshopping.pk/products/TPLink-Tapo-C100-Home-Security-WiFi-Camera-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/b/340/Tapo-c100-1_normal_1578559517394b__86895_thumb.jpg
SIGMA AF 20MM F/1.4 DG DN (A) F/SE LENS,"Rs 257,199",https://homeshopping.pk/products/SIGMA-AF-20MM-F14-DG-DN-A-FSE-LENS-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/y/022/1659946849_1719349__45301_thumb.jpg
Sigma 35mm f/1.4 DG DN Art Lens for Sony E,"Rs 233,999",https://homeshopping.pk/products/Sigma-35mm-f14-DG-DN-Art-Lens-for-Sony-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/d/971/yt7Nsigma-35mm-f1.4-dg-dn-bnw-collections__13955_thumb.jpg
Gopro Sportsman Mount,"Rs 10,649",https://homeshopping.pk/products/Gopro-Sportsman-Mount-price-in-pakistan.html,https://cdn.homeshopping.pk/product_images/a/057/sportsman_mount__07794_thumb.jpg
GoPro Hero 11 Creator Edition Bundle Camera (CHDFB...,"Rs 200,440",https://homeshopping.pk/products/GoPro-Hero-11-Creator-Edition-Bundle-Camera-%28CHDFB%252d111%252dCN%29-%E2%80%93-Black.html,https://cdn.homeshopping.pk/product_images/h/871/GoPro-Hero-11-Creator-Edition-Bundle-Camera__07426_thumb.jpg
Samsung M 60 inch Smart Android WiFi 4K Led TV,"Rs 131,999",https://homeshopping.pk/products/Samsung-M-60inch-Smart-Android-Led-TV-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/f/535/ezgif.com-gif-maker_%289%29__66108_thumb.jpg
Sony G 40 Inch Smart Android WiFi 4K Led Tv,"Rs 76,499",https://homeshopping.pk/products/Sony-G-40-Inch-Smart-Android-WiFi-4K-Led-Tv.html,https://cdn.homeshopping.pk/product_images/u/641/Untitled722__64511_thumb.jpg
