Title,Price,Old Price,Discount,Image URL
New Disposable Shoe Cleaning Wipes - 80pcs in 1,Rs. 449,Rs. 599,25%,https://www.hamzastore.pk/images/product_gallery/md_1726152062_disposable-shoe-cleaning-wipes-quick-shine-clean-wet-wipes-80-wipes-in-1-packet-3.jpeg
New 6 in 1 Electric Massager,"Rs. 4,999","Rs. 5,499",9%,https://www.hamzastore.pk/images/product_gallery/md_1726133374_adornia-shopify-new-img-705.jpg
Shower Scrub Gloves | Exfoliating Mitts Scrubbing Gloves | Bath Gloves Tan Removal,Rs. 799,Rs. 999,20%,https://www.hamzastore.pk/images/product_gallery/md_1725293166_61LKzZkANVL.jpg
New Hair Oil Applicator,Rs. 899,"Rs. 1,299",31%,https://www.hamzastore.pk/images/product_gallery/1725278116_1340c1d80da32b4992943d022e6a4b90.webp
Period Cramp Relief Belt & Massager,"Rs. 3,499","Rs. 3,999",13%,https://www.hamzastore.pk/images/product_gallery/md_1725118610_S4ac6c0fb83df471cbcc46b6a294c542cX.jpg
High Waist Seamless Body Shaper Shorts,"Rs. 1,199","Rs. 1,499",20%,https://www.hamzastore.pk/images/product_gallery/md_1725118055_ffc9c125b7bf743b83af7798c15d6a96.gif
Medicated Plantar Insoles,Rs. 999,"Rs. 1,499",33%,https://www.hamzastore.pk/images/product_gallery/md_1718455126_medicated-soles-2-600x600.jpg
HS-856 Soft Medicated Slippers Ultimate Comfort for Every Step,"Rs. 1,998","Rs. 3,149",37%,https://www.hamzastore.pk/images/product_gallery/md_1710504183_856-BLACK.JPG
HS-855 Soft Medicated Slippers Ultimate Comfort for Every Step,"Rs. 1,998","Rs. 3,149",37%,https://www.hamzastore.pk/images/product_gallery/md_1710504183_855-PINK.JPG
HS-854 Soft Medicated Slippers Ultimate Comfort for Every Step,"Rs. 1,998","Rs. 3,149",37%,https://www.hamzastore.pk/images/product_gallery/md_1710504178_854-GREY.JPG
HS-853 Soft Medicated Slippers Ultimate Comfort for Every Step,"Rs. 1,998","Rs. 3,149",37%,https://www.hamzastore.pk/images/product_gallery/md_1710504168_853-BLACK.JPG
